noise,success_rate,fail_rate
0.0,23,77
0.005,22,78
0.01,22,78
0.015,19,81
0.02,21,79
0.025,22,78
0.03,23,77
0.035,27,73
0.04,24,76
0.045,21,79
0.05,20,80
0.075,14,86
0.1,21,79
0.125,10,90
0.15,10,90
0.175,8,92
0.2,9,91
0.225,7,93
0.25,5,95
0.275,2,98
0.3,3,97
0.325,2,98
0.35,1,99
0.375,1,99
0.4,0,100
0.425,1,99
0.45,0,100
0.475,1,99
0.5,0,100
1.0,0,100
