noise,success_rate,fail_rate
0.0,40,60
0.005,41,59
0.01,39,61
0.015,40,60
0.02,39,61
0.025,37,63
0.03,39,61
0.035,35,65
0.04,32,68
0.045,32,68
0.05,35,65
0.075,29,71
0.1,29,71
0.125,26,74
0.15,15,85
0.175,5,95
0.2,5,95
0.225,4,96
0.25,1,99
0.275,0,100
0.3,0,100
0.325,0,100
0.35,0,100
0.375,0,100
0.4,0,100
0.425,0,100
0.45,0,100
0.475,0,100
0.5,0,100
1.0,0,100
