noise,success_rate,fail_rate
0.0,26,74
0.005,23,77
0.01,24,76
0.015,25,75
0.02,26,74
0.025,24,76
0.03,26,74
0.035,23,77
0.04,28,72
0.045,24,76
0.05,29,71
0.075,26,74
0.1,25,75
0.125,26,74
0.15,21,79
0.175,15,85
0.2,17,83
0.225,14,86
0.25,11,89
0.275,13,87
0.3,12,88
0.325,4,96
0.35,1,99
0.375,2,98
0.4,2,98
0.425,1,99
0.45,1,99
0.475,0,100
0.5,0,100
1.0,0,100
