noise,success_rate,fail_rate
0.0,43,57
0.005,43,57
0.01,43,57
0.015,43,57
0.02,43,57
0.025,43,57
0.03,43,57
0.035,43,57
0.04,43,57
0.045,43,57
0.05,43,57
0.075,43,57
0.1,43,57
0.125,40,60
0.15,38,62
0.175,33,67
0.2,29,71
0.225,23,77
0.25,18,82
0.275,19,81
0.3,12,88
0.325,5,95
0.35,7,93
0.375,1,99
0.4,1,99
0.425,2,98
0.45,0,100
0.475,0,100
0.5,1,99
1.0,0,100
