run,noise,success_rate,successes,failures,attempted,duration
nut_assembly_D0_noisy_0,0.1,54.0,54,46,100,1368.0
nut_assembly_D0_noisy_1,0.15,33.0,33,67,100,1404.0000000000002
nut_assembly_D0_noisy_2,0.25,8.0,8,92,100,1295.9999999999998
nut_assembly_D0_noisy_3,0.5,0.0,0,100,100,1440.0
nut_assembly_D0_noisy_4,1.0,0.0,0,100,100,1260.0
