run,noise,success_rate,successes,failures,attempted,duration
square_D1_noisy_0,0.275,21.0,21,79,100,468.00000000000006
square_D1_noisy_1,0.3,12.0,12,88,100,504.0
square_D1_noisy_2,0.325,11.0,11,89,100,576.0
square_D1_noisy_3,0.35,3.0,3,97,100,504.0
