run,noise,success_rate,successes,failures,attempted,duration
square_D1_noisy_0,0.1,38.0,38,62,100,684.0
square_D1_noisy_1,0.15,28.0,28,72,100,612.0000000000001
square_D1_noisy_2,0.25,25.0,25,75,100,684.0
square_D1_noisy_3,0.5,0.0,0,100,100,720.0
square_D1_noisy_4,1.0,0.0,0,100,100,647.9999999999999
