run,noise,success_rate,successes,failures,attempted,duration
three_piece_assembly_D1_noisy_0,0.1,22.0,22,78,100,1980.0
three_piece_assembly_D1_noisy_1,0.15,10.0,10,90,100,1944.0000000000005
three_piece_assembly_D1_noisy_2,0.25,4.0,4,96,100,1908.0
three_piece_assembly_D1_noisy_3,0.5,0.0,0,100,100,1872.0000000000002
three_piece_assembly_D1_noisy_4,1.0,0.0,0,100,100,1800.0
