run,noise,success_rate,successes,failures,attempted,duration
nut_assembly_D0_noisy_0,0.075,51.0,51,49,100,1548.0
nut_assembly_D0_noisy_1,0.125,33.0,33,67,100,1548.0
nut_assembly_D0_noisy_2,0.175,31.0,31,69,100,1512.0
nut_assembly_D0_noisy_3,0.2,19.0,19,81,100,1584.0
nut_assembly_D0_noisy_4,0.225,20.0,20,80,100,1548.0
nut_assembly_D0_noisy_5,0.375,3.0,3,97,100,1475.9999999999998
